ID,Treatment,Sex,Pre,Post,Fat,Percent
W25,0.75X,M,0.0002999,0.0003656,-0.0000657,NA
W25,0.75X,M,0.0003334,0.0003531,-0.0000197,NA
W75,1.0x,M,0.0002001,0.0002075,-7.40E-06,NA
W81,1.5X,M,0.0002524,0.0002519,5.00E-07,0.198098257
W71,0.75X,M,0.0002718,0.0002679,3.90E-06,1.434878587
W88,3X,M,0.0002955,0.00029,5.50E-06,1.861252115
W91,3X,M,0.0002318,0.0002273,0.0000045,1.941328732
W70,0.75X,M,0.0002411,0.0002363,4.80E-06,1.990875156
W70,0.75X,M,0.0002338,0.0002283,0.0000055,2.352437981
W78,1.5X,M,0.0002756,0.0002674,8.20E-06,2.97532656
W81,1.5X,M,0.0002614,0.0002532,8.20E-06,3.136954858
W74,1.0x,M,0.0003228,0.0003126,0.0000102,3.159851301
W91,3X,M,0.0002364,0.0002285,0.0000079,3.34179357
W88,3X,M,0.0003221,0.0003101,0.000012,3.725551071
W63,3X,M,0.0002782,0.0002678,0.0000104,3.738317757
W69,0.75X,F,0.0001963,0.0001885,0.0000078,3.973509934
W74,1.0x,M,0.0002632,0.0002526,0.0000106,4.027355623
W61,1.0x,M,0.0002495,0.0002391,0.0000104,4.168336673
W65,0.5X,M,0.0002717,0.0002599,0.0000118,4.343025396
W83,1.5X,M,0.000317,0.0003028,0.0000142,4.479495268
W88,3X,M,0.0003303,0.0003148,0.0000155,4.692703603
W75,1.0x,M,0.0002125,0.0002023,0.0000102,4.8
W75,1.0x,M,0.0002106,0.0002003,0.0000103,4.890788224
W63,3X,M,0.0003967,0.0003746,0.0000221,5.570960423
W4,0.5X,F,0.000409,0.000386,0.000023,5.623471883
W95,3X,M,0.000228,0.0002148,0.0000132,5.789473684
W70,0.75X,M,0.0002677,0.0002516,0.0000161,6.014194994
W80,1.5X,F,0.0005791,0.0005442,0.0000349,6.026592989
W94,3X,F,0.0004453,0.0004178,0.0000275,6.175611947
W89,3X,M,0.0002847,0.0002671,0.0000176,6.181945908
W71,0.75X,M,0.0002843,0.0002667,0.0000176,6.190643686
W68,0.75X,F,0.0003877,0.0003636,0.0000241,6.216146505
W91,3X,M,0.0002451,0.0002297,0.0000154,6.283149735
W90,3X,F,0.0005682,0.0005319,3.63E-05,6.388595565
W71,0.75X,M,0.0002616,0.0002443,0.0000173,6.613149847
W73,1.0x,M,0.0002993,0.000279,0.0000203,6.782492482
W69,0.75X,F,0.0002294,0.0002137,0.0000157,6.843940715
W73,1.0x,M,0.0002975,0.0002771,0.0000204,6.857142857
W95,3X,M,0.0002604,0.0002425,0.0000179,6.884615385
W47,0.75X,M,0.0003209,0.0002982,0.0000227,7.073854783
W69,0.75X,F,0.0001992,0.0001851,0.0000141,7.078313253
W78,1.5X,M,0.0002208,0.000205,0.0000158,7.155797101
W89,3X,M,0.0003126,0.0002899,0.0000227,7.261676264
W83,1.5X,M,0.0003136,0.0002902,0.0000234,7.461734694
W77,1.5X,F,0.0004613,0.000425,0.0000363,7.869065684
W85,3X,M,0.0002926,0.0002693,0.0000233,7.963089542
W98,3X,M,0.0003473,0.0003196,0.0000277,7.975813418
W47,0.75X,M,0.0003554,0.0003269,0.0000285,8.019133371
W85,3X,M,0.0003255,0.0002993,0.0000262,8.049155146
W72,1.0x,F,0.0004787,0.0004401,0.0000386,8.063505327
W93,3X,F,0.0005067,0.0004645,0.0000422,8.328399447
W97,3X,M,0.0003038,0.0002784,0.0000254,8.36076366
W73,1.0x,M,0.000323,0.0002945,0.0000285,8.823529412
W78,1.5X,M,0.0002655,0.000242,0.0000235,8.851224105
W74,1.0x,M,0.0002785,0.0002521,0.0000264,9.47935368
W65,0.5X,M,0.0002894,0.0002619,0.0000275,9.502418798
W90,3X,F,0.0005637,0.0005083,5.54E-05,9.827922654
W80,1.5X,F,0.0004336,0.0003907,0.0000429,9.893911439
W29,1.5X,F,0.0004969,0.0004467,0.0000502,10.10263635
W68,0.75X,F,0.0004063,0.0003651,0.0000412,10.14029043
W92,3X,F,0.0005075,0.0004553,0.0000522,10.28571429
W84,3X,F,0.0004239,0.0003801,0.0000438,10.33262562
W77,1.5X,F,0.0004653,0.0004166,0.0000487,10.46636579
W97,3X,M,0.0003292,0.0002941,0.0000351,10.66221142
W29,1.5X,F,0.0003636,0.0003248,0.0000388,10.67106711
W27,1.5X,M,0.0005179,0.0004624,5.55E-05,10.71635451
W64,3X,F,0.0005717,0.00051,6.17E-05,10.79237362
W90,3X,F,0.0005612,0.0004994,0.0000618,11.01211689
W92,3X,F,0.0005623,0.0004999,0.0000624,11.09727903
W84,3X,F,0.0004495,0.0003985,0.000051,11.34593993
W32,3X,,0.0006584,0.0005833,7.51E-05,11.40643985
W45,0.75X,F,0.000282,0.0002488,0.0000332,11.77304965
W22,0.5X,F,0.000438,0.000386,0.000052,11.87214612
W45,0.75X,F,0.0002677,0.0002356,0.0000321,11.99103474
W32,3X,,0.0006126,0.0005377,0.0000749,12.22657525
W72,1.0x,F,0.0004289,0.0003755,0.0000534,12.45045465
W92,3X,F,0.00059,0.0005163,0.0000737,12.49152542
W64,3X,F,0.0005259,0.000459,6.69E-05,12.72104963
W72,1.0x,F,0.0004212,0.0003663,0.0000549,13.03418803
W27,1.5X,M,0.000576,0.0004998,0.0000762,13.22916667
W29,1.5X,F,0.0003303,0.0002866,0.0000437,13.23039661
W87,3X,F,0.0004791,0.0004142,0.0000649,13.54623252
W44,0.75X,F,0.000562,0.0004851,0.0000769,13.68327402
W22,0.5X,F,0.000434,0.000374,0.00006,13.82488479
W84,3X,F,0.0004384,0.0003759,0.0000625,14.25638686
W87,3X,F,0.0004916,0.00042,0.0000716,14.56468674
W86,3X,F,0.0005343,0.000448,0.0000863,16.15197455
W44,0.75X,F,0.000526,0.0004346,0.0000914,17.37642586
W44,0.75X,F,0.0004889,0.0004009,0.000088,17.99959092
W3,0.5X,F,0.00046,0.000377,0.000083,18.04347826
W27,1.5X,M,0.0006128,0.0004979,0.0001149,18.75
W40,1.5X,F,0.000516,0.000419,0.000097,18.79844961
W32,3X,,0.0006362,0.0005146,0.0001216,19.11348633
W95,3X,M,0.0002518,0.0002034,0.0000484,19.22160445
W93,3X,F,0.0004809,0.000388,0.0000929,19.31794552
W40,1.5X,F,0.0004832,0.0003884,0.0000948,19.6192053
W40,1.5X,F,0.0005625,0.0004435,0.000119,21.15555556
W65,0.5X,M,0.0002662,0.0002098,0.0000564,21.18707739
W28,1.5X,F,0.0005682,0.0004475,0.0001207,21.24252024
W68,0.75X,F,0.0004044,0.0003137,0.0000907,22.42828882
W58,1.0x,F,0.0005706,0.0004342,0.0001364,23.90466176
W81,1.5X,M,0.0002588,0.0001839,0.0000749,28.94126739
W43,0.5X,F,0.00047,0.000328,0.000142,30.21276596
W28,1.5X,F,0.0006132,0.0004245,0.0001887,30.77299413
W28,1.5X,F,0.0007006,0.0004838,0.0002168,30.94490437
W47,0.75X,M,0.0003319,0.000225,0.0001069,32.20849654
W48,0.75X,M,0.0003067,0.0002022,0.0001045,34.07238344
W25,0.75X,M,0.0003532,0.0002253,0.0001279,36.21177803
W66,0.5X,M,0.0001895,NA,NA,NA
W66,0.5X,M,0.0002095,NA,NA,NA
W66,0.5X,M,0.0002431,NA,NA,NA
W80,1.5X,F,0.0005258,NA,NA,NA
W83,1.5X,M,0.0002883,NA,NA,NA
W94,3X,F,0.0005079,NA,NA,NA
W98,3X,M,0.0003323,NA,NA,NA
